epoch,accuracy,loss,val_accuracy,val_loss,val_recall_sepsis
0,0.30291926860809326,0.7600553035736084,0.13066667318344116,0.9264816045761108,0.59375
1,0.3051178753376007,0.7512747645378113,0.12999999523162842,0.9360231161117554,0.5520833333333334
2,0.3063393235206604,0.7487043142318726,0.12533333897590637,0.9169489145278931,0.5520833333333334
3,0.31171369552612305,0.7405657172203064,0.1340000033378601,0.9376058578491211,0.5625
4,0.3130572736263275,0.7424894571304321,0.12866666913032532,0.9227836728096008,0.5520833333333334
5,0.3167216181755066,0.7249621748924255,0.1393333375453949,0.9314419031143188,0.5
6,0.31562232971191406,0.7335483431816101,0.1446666717529297,0.9279780983924866,0.5625
7,0.3181873559951782,0.7211940288543701,0.14133332669734955,0.933668851852417,0.5416666666666666
8,0.3178209364414215,0.7206932902336121,0.14866666495800018,0.9492387175559998,0.5416666666666666
9,0.32124099135398865,0.7171968817710876,0.14666666090488434,0.9570083022117615,0.5104166666666666
10,0.3282032608985901,0.7066426873207092,0.14133332669734955,0.9583439826965332,0.5
11,0.3258824944496155,0.7068358063697815,0.14399999380111694,0.9723190069198608,0.5104166666666666
12,0.32954683899879456,0.7036863565444946,0.14000000059604645,0.9758585691452026,0.5104166666666666
13,0.32087457180023193,0.7053803205490112,0.14266666769981384,0.9602124691009521,0.4375
14,0.3341883420944214,0.7050421237945557,0.1313333362340927,0.9633205533027649,0.4583333333333333
15,0.3329668939113617,0.6896108388900757,0.14800000190734863,0.9828105568885803,0.4166666666666667
16,0.332600474357605,0.6933513283729553,0.1420000046491623,0.978884756565094,0.4479166666666667
17,0.3373641073703766,0.6853122115135193,0.1446666717529297,0.9793558120727539,0.4270833333333333
18,0.3420056104660034,0.6868253946304321,0.1433333307504654,0.9885572791099548,0.4375
19,0.3380969762802124,0.6878868341445923,0.15333333611488342,0.9820516109466553,0.4270833333333333
20,0.3432270586490631,0.6837901473045349,0.15199999511241913,0.9782008528709412,0.4791666666666667
21,0.3453035354614258,0.6688713431358337,0.15066666901111603,1.0010437965393066,0.4166666666666667
22,0.34066203236579895,0.6825143694877625,0.14866666495800018,0.9974961876869202,0.4479166666666667
23,0.3504336178302765,0.6682679057121277,0.15399999916553497,0.9862812757492065,0.4479166666666667
24,0.3439599275588989,0.6646888852119446,0.1599999964237213,1.0075682401657104,0.40625
25,0.3548308312892914,0.657474160194397,0.15399999916553497,1.0120240449905396,0.3958333333333333
