epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_f1_sep,val_loss,val_pre_sep,val_precision,val_rec_sep,val_recall
0,0.4240238070487976,0.5156616568565369,0.16461516916751862,0.262393593788147,0.7201099395751953,0.1133333370089531,0.5489523410797119,0.12030075187969924,0.1229388639330864,0.064,0.06488011032342911,1.0,0.9583333134651184
1,0.3467307984828949,0.5264284610748291,0.13757921755313873,0.25863486528396606,0.8644067645072937,0.06599999964237213,0.516871452331543,0.12030075187969924,0.11762196570634842,0.064,0.06354515254497528,1.0,0.9895833134651184
2,0.310660719871521,0.5387439727783203,0.12892358005046844,0.25613322854042053,0.9230417013168335,0.06400000303983688,0.48404112458229065,0.12030075187969924,0.11206549406051636,0.064,0.06341788917779922,1.0,0.9895833134651184
3,0.3045917749404907,0.5565465688705444,0.12085980176925659,0.25862497091293335,0.9546495676040649,0.06400000303983688,0.5085618495941162,0.12030075187969924,0.10550778359174728,0.064,0.06400000303983688,1.0,1.0
4,0.2937135100364685,0.5762615203857422,0.11322325468063354,0.25698256492614746,0.9651855230331421,0.07000000029802322,0.4948250651359558,0.12037617554858934,0.09738671779632568,0.06404269513008673,0.06380120664834976,1.0,0.9895833134651184
5,0.3056223392486572,0.594851553440094,0.10603637993335724,0.2591535449028015,0.95648193359375,0.08266666531562805,0.49899837374687195,0.12037617554858934,0.09159129112958908,0.06404269513008673,0.06462585180997849,1.0,0.9895833134651184
6,0.32543227076530457,0.6099143624305725,0.09922773391008377,0.26513808965682983,0.9587723612785339,0.11266666650772095,0.48157793283462524,0.12037617554858934,0.08575606346130371,0.06404269513008673,0.06298655271530151,1.0,0.9270833134651184
7,0.3462727665901184,0.6175011396408081,0.09303703904151917,0.2696027159690857,0.9450297951698303,0.1313333362340927,0.5068257451057434,0.12037617554858934,0.07977796345949173,0.06404269513008673,0.06425993144512177,1.0,0.9270833134651184
8,0.35634946823120117,0.633796215057373,0.08748424798250198,0.2718949019908905,0.9386165738105774,0.1353333294391632,0.5053010582923889,0.12060301507537688,0.07613668590784073,0.06417112299465241,0.06453952193260193,1.0,0.9270833134651184
9,0.35360127687454224,0.6429057121276855,0.08250213414430618,0.27187663316726685,0.9450297951698303,0.18533332645893097,0.5063397884368896,0.12010113780025285,0.071123868227005,0.0639300134589502,0.0649149939417839,0.9895833333333334,0.875
10,0.38154128193855286,0.6650646924972534,0.07786387950181961,0.2792866826057434,0.9326614737510681,0.2006666660308838,0.5077679753303528,0.11936507936507937,0.06659168750047684,0.06355645706558485,0.06677140295505524,0.9791666666666666,0.8854166865348816
11,0.37638840079307556,0.6639785766601562,0.07436784356832504,0.2776945233345032,0.9335776567459106,0.18000000715255737,0.5065957307815552,0.11853720050441362,0.06437848508358002,0.06308724832214765,0.0658499225974083,0.9791666666666666,0.8958333134651184
12,0.3988320231437683,0.6792182922363281,0.07066544145345688,0.2844694256782532,0.9271644353866577,0.24133333563804626,0.5205551385879517,0.11862244897959184,0.06097334623336792,0.06317934782608696,0.06799336522817612,0.96875,0.8541666865348816
13,0.4150921702384949,0.6863796710968018,0.06763845682144165,0.2903826832771301,0.9280806183815002,0.2626666724681854,0.5113143920898438,0.12074502247912652,0.058504652231931686,0.06433949349760439,0.06689536571502686,0.9791666666666666,0.8125
14,0.4213901162147522,0.6900829672813416,0.06525015830993652,0.29245010018348694,0.9262482523918152,0.23733332753181458,0.5071670413017273,0.12012779552715655,0.05743077024817467,0.06398910823689585,0.06622516363859177,0.9791666666666666,0.8333333134651184
15,0.4441772699356079,0.707798957824707,0.06266026198863983,0.3002243936061859,0.9193770289421082,0.27000001072883606,0.5111103653907776,0.12028150991682661,0.05603787302970886,0.06407634628493525,0.06976744532585144,0.9791666666666666,0.84375
16,0.4528798758983612,0.7072036266326904,0.06105702370405197,0.303617388010025,0.9189189076423645,0.28200000524520874,0.5110250115394592,0.12074502247912652,0.05340972915291786,0.06433949349760439,0.0655447319149971,0.9791666666666666,0.7708333134651184
17,0.4615825116634369,0.7240424156188965,0.05900505557656288,0.30602186918258667,0.9102153182029724,0.32199999690055847,0.5080684423446655,0.11909385113268608,0.0526646263897419,0.06349206349206349,0.06350710988044739,0.9583333333333334,0.6979166865348816
18,0.4868888258934021,0.729114830493927,0.05762384459376335,0.31662943959236145,0.908841073513031,0.3179999887943268,0.5150574445724487,0.12070084360804673,0.051112957298755646,0.0643598615916955,0.06478872895240784,0.96875,0.71875
19,0.49272873997688293,0.7362203598022461,0.056325413286685944,0.31823328137397766,0.9010536074638367,0.33533334732055664,0.5135995745658875,0.1194225721784777,0.05161326751112938,0.06372549019607843,0.06724303215742111,0.9479166666666666,0.7291666865348816
20,0.5053246021270752,0.7462089657783508,0.055024925619363785,0.3250368535518646,0.9092991352081299,0.3633333444595337,0.5040138363838196,0.12125340599455041,0.05096450448036194,0.06486880466472303,0.06395938992500305,0.9270833333333334,0.65625
21,0.5181495547294617,0.7506201267242432,0.05419161170721054,0.33065730333328247,0.9056344628334045,0.35600000619888306,0.5142227411270142,0.121049092131809,0.05066778138279915,0.06470165348670022,0.06412825733423233,0.9375,0.6666666865348816
22,0.5324630737304688,0.760520875453949,0.053145281970500946,0.3372730314731598,0.9019697904586792,0.3720000088214874,0.5163038969039917,0.11724137931034483,0.05033602565526962,0.06277695716395865,0.06301652640104294,0.8854166666666666,0.6354166865348816
23,0.5466620922088623,0.7754834890365601,0.05195736140012741,0.34421053528785706,0.8987631797790527,0.3779999911785126,0.514564037322998,0.1169993117687543,0.04991718381643295,0.06263817243920412,0.0663212463259697,0.8854166666666666,0.6666666865348816
24,0.557425856590271,0.7789348363876343,0.05162888392806053,0.3504091203212738,0.9024278521537781,0.4166666567325592,0.5363730192184448,0.12031139419674451,0.04890091344714165,0.06454062262718299,0.06866002082824707,0.8854166666666666,0.6458333134651184
