epoch,accuracy,loss,val_accuracy,val_loss
0,0.3914503753185272,0.7535107135772705,0.505698025226593,0.6142779588699341
1,0.4691603183746338,0.6252031326293945,0.5327635407447815,0.6116272807121277
2,0.4996946454048157,0.6145139932632446,0.5911681056022644,0.6099088788032532
3,0.5253435373306274,0.6103990077972412,0.5918803215026855,0.6063448190689087
4,0.5485495924949646,0.6070838570594788,0.5961538553237915,0.6039372086524963
5,0.564274787902832,0.6025670766830444,0.5968660712242126,0.602092981338501
6,0.5829007625579834,0.6000480651855469,0.5968660712242126,0.5992211103439331
7,0.5813740491867065,0.596805214881897,0.5968660712242126,0.5977038145065308
8,0.580152690410614,0.5951120257377625,0.5961538553237915,0.5953130722045898
9,0.5816794037818909,0.5917044281959534,0.5947293639183044,0.5931962728500366
10,0.587480902671814,0.5903748273849487,0.5968660712242126,0.5904093980789185
11,0.5882442593574524,0.5868741273880005,0.5968660712242126,0.5889337062835693
12,0.5836641192436218,0.5847312808036804,0.5740740895271301,0.5870215892791748
13,0.5827481150627136,0.5812636017799377,0.5897436141967773,0.5858749151229858
14,0.5848854780197144,0.5795866847038269,0.5954415798187256,0.5830681920051575
15,0.585496187210083,0.5781726837158203,0.5876068472862244,0.5810398459434509
16,0.5885496139526367,0.5744156241416931,0.5940170884132385,0.5782120227813721
17,0.5833587646484375,0.5726198554039001,0.5854700803756714,0.5771008729934692
18,0.5842748284339905,0.5697014927864075,0.5769230723381042,0.5759806632995605
19,0.572519063949585,0.5666890740394592,0.5769230723381042,0.5741255283355713
20,0.5764885544776917,0.5656089186668396,0.5868945717811584,0.571037232875824
21,0.5796946287155151,0.5621646046638489,0.5868945717811584,0.5719107389450073
22,0.5804580450057983,0.5606897473335266,0.5726495981216431,0.5696127414703369
23,0.5783206224441528,0.5582044720649719,0.5804843306541443,0.5682640075683594
24,0.5732824206352234,0.5573180913925171,0.5726495981216431,0.5665262937545776
25,0.5783206224441528,0.5555646419525146,0.5847578644752502,0.5657212734222412
26,0.5761831998825073,0.5519933700561523,0.5555555820465088,0.5664597749710083
27,0.5734351277351379,0.5506777167320251,0.5662392973899841,0.5648565292358398
28,0.5777099132537842,0.5507084727287292,0.5754985809326172,0.5618928670883179
29,0.5743511319160461,0.5482677817344666,0.5676637887954712,0.5612658858299255
30,0.5786259770393372,0.5447497367858887,0.561253547668457,0.5616297125816345
31,0.5737404823303223,0.5427240133285522,0.5420227646827698,0.5627269744873047
32,0.5770992636680603,0.5418916344642639,0.5562677979469299,0.5603533983230591
33,0.5720610618591309,0.5413327217102051,0.5512820482254028,0.5596764087677002
34,0.5679389238357544,0.5381735563278198,0.55982905626297,0.5636941194534302
35,0.5694656372070312,0.5377269387245178,0.5519943237304688,0.5615350604057312
36,0.5687022805213928,0.5345895886421204,0.565527081489563,0.5647866725921631
37,0.5650381445884705,0.5335463285446167,0.5384615659713745,0.5681853294372559
38,0.5662595629692078,0.5325180888175964,0.5363247990608215,0.5650952458381653
39,0.5635114312171936,0.53070467710495,0.5313390493392944,0.5645236968994141
40,0.5616793632507324,0.5304293632507324,0.5363247990608215,0.5687894225120544
41,0.5525190830230713,0.5275763869285583,0.5071225166320801,0.5694317817687988
42,0.5610687136650085,0.5289717316627502,0.5235042572021484,0.5678607821464539
43,0.5633587837219238,0.5278722047805786,0.5377492904663086,0.5686315894126892
44,0.5520610809326172,0.524293065071106,0.5313390493392944,0.5688936114311218
45,0.5635114312171936,0.5252708792686462,0.5377492904663086,0.5640481114387512
46,0.5531297922134399,0.5234295129776001,0.5213675498962402,0.5673906207084656
47,0.5517557263374329,0.5223285555839539,0.5206552743911743,0.5688885450363159
48,0.5541984438896179,0.5184884667396545,0.5099714994430542,0.5722476243972778
49,0.5509923696517944,0.5179542303085327,0.5092592835426331,0.5724455714225769
50,0.5583205819129944,0.517878532409668,0.5106837749481201,0.5695545673370361
51,0.5545037984848022,0.5153494477272034,0.5170940160751343,0.5697131752967834
52,0.5526717305183411,0.5179960131645203,0.5135327577590942,0.5717641115188599
53,0.5514503717422485,0.515264093875885,0.5185185074806213,0.576918363571167
