epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.35899999737739563,0.0005000000237487257,1.5291928052902222,0.4099999964237213,1.3699045181274414
1,0.4020000100135803,0.0005000000237487257,1.4232215881347656,0.4480000138282776,1.35097074508667
2,0.4317142963409424,0.0005000000237487257,1.3919339179992676,0.46266666054725647,1.3240514993667603
3,0.43542855978012085,0.0005000000237487257,1.3814146518707275,0.4519999921321869,1.3112249374389648
4,0.4448571503162384,0.0005000000237487257,1.3738588094711304,0.44333332777023315,1.3004276752471924
5,0.4449999928474426,0.0005000000237487257,1.3685647249221802,0.4480000138282776,1.2942280769348145
6,0.45585715770721436,0.0005000000237487257,1.3624666929244995,0.4313333332538605,1.2982043027877808
7,0.464428573846817,0.0005000000237487257,1.3485347032546997,0.4399999976158142,1.293863296508789
8,0.46299999952316284,0.0005000000237487257,1.347650408744812,0.44200000166893005,1.2996548414230347
9,0.4701428711414337,0.0005000000237487257,1.3428995609283447,0.43066665530204773,1.299451470375061
10,0.46057143807411194,0.0005000000237487257,1.3386485576629639,0.4320000112056732,1.298775315284729
11,0.4652857184410095,0.0005000000237487257,1.3316038846969604,0.4233333468437195,1.2974010705947876
12,0.4635714292526245,0.0005000000237487257,1.32900071144104,0.4346666634082794,1.2995281219482422
13,0.462714284658432,0.0005000000237487257,1.3240829706192017,0.41200000047683716,1.307479977607727
14,0.46371427178382874,0.0005000000237487257,1.323183536529541,0.40666666626930237,1.3070664405822754
15,0.45500001311302185,0.0005000000237487257,1.3145989179611206,0.4326666593551636,1.298352599143982
16,0.4691428542137146,0.0002500000118743628,1.3068383932113647,0.4266666769981384,1.3053969144821167
17,0.47128570079803467,0.0002500000118743628,1.297609806060791,0.4193333387374878,1.3022959232330322
18,0.46228572726249695,0.0002500000118743628,1.3004294633865356,0.4026666581630707,1.3064348697662354
19,0.4781428575515747,0.0002500000118743628,1.2945176362991333,0.42399999499320984,1.297905445098877
20,0.47942855954170227,0.0002500000118743628,1.2799869775772095,0.40533334016799927,1.3048771619796753
21,0.4749999940395355,0.0002500000118743628,1.2805382013320923,0.4113333225250244,1.3022249937057495
22,0.4828571379184723,0.0002500000118743628,1.278285264968872,0.40400001406669617,1.3102726936340332
23,0.475857138633728,0.0002500000118743628,1.278290867805481,0.4113333225250244,1.3055269718170166
24,0.48642855882644653,0.0001250000059371814,1.2693524360656738,0.4180000126361847,1.3032299280166626
25,0.48242858052253723,0.0001250000059371814,1.2658896446228027,0.4153333306312561,1.3016717433929443
26,0.4798571467399597,0.0001250000059371814,1.2676821947097778,0.41600000858306885,1.304203748703003
27,0.4831428527832031,0.0001250000059371814,1.2595096826553345,0.41200000047683716,1.304851770401001
