epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_f1_sep,val_loss,val_pre_sep,val_precision,val_rec_sep,val_recall
0,0.4765830636024475,0.5878024101257324,0.14089269936084747,0.2834602892398834,0.7159871459007263,0.28600001335144043,0.5291280746459961,0.12030075187969924,0.12278318405151367,0.064,0.06512042880058289,1.0,0.7604166865348816
1,0.4981106221675873,0.620513916015625,0.13384978473186493,0.30122876167297363,0.7636280059814453,0.29466667771339417,0.5187448263168335,0.12060301507537688,0.11789903789758682,0.06417112299465241,0.06666667014360428,1.0,0.7708333134651184
2,0.49948471784591675,0.637689471244812,0.12749528884887695,0.3065086603164673,0.7938616871833801,0.28733333945274353,0.5195052623748779,0.11934673366834171,0.11382722109556198,0.06350267379679145,0.06678539514541626,0.9895833333333334,0.78125
3,0.49478986859321594,0.6519802212715149,0.12223013490438461,0.3064095973968506,0.8080623149871826,0.304666668176651,0.5208444595336914,0.11949685534591195,0.10842251777648926,0.06358768406961178,0.0643974244594574,0.9895833333333334,0.7291666865348816
4,0.49547693133354187,0.6580877304077148,0.11681399494409561,0.30759909749031067,0.8140174150466919,0.31466665863990784,0.5264979600906372,0.11809045226130653,0.10363685339689255,0.06283422459893048,0.06851851940155029,0.9791666666666666,0.7708333134651184
5,0.5086453557014465,0.6732826232910156,0.11164408922195435,0.3156053125858307,0.8263857364654541,0.3499999940395355,0.537986695766449,0.11972274732199117,0.09895554929971695,0.06371562709590879,0.06784661114215851,0.9895833333333334,0.71875
6,0.5254780650138855,0.6926767826080322,0.10597191005945206,0.32317402958869934,0.8208886981010437,0.3880000114440918,0.5390365123748779,0.1181702668360864,0.09437011927366257,0.06292286874154263,0.0709812119603157,0.96875,0.7083333134651184
7,0.5466620922088623,0.6989532709121704,0.10130051523447037,0.33327075839042664,0.8131012320518494,0.37400001287460327,0.5377492904663086,0.11772151898734177,0.09066074341535568,0.06266846361185983,0.06945863366127014,0.96875,0.7083333134651184
8,0.5474636554718018,0.7090567350387573,0.09685161709785461,0.3346419930458069,0.8199725151062012,0.38733333349227905,0.556097149848938,0.11674150096215523,0.0866725742816925,0.06220095693779904,0.07090719789266586,0.9479166666666666,0.7083333134651184
9,0.5646398663520813,0.7228652834892273,0.09241706877946854,0.34694647789001465,0.8405863642692566,0.41733333468437195,0.5501617193222046,0.11893988364576599,0.08274833112955093,0.06340454858718125,0.06873614341020584,0.9583333333333334,0.6458333134651184
10,0.572197437286377,0.730640709400177,0.0887836143374443,0.3501254618167877,0.8309665322303772,0.42533332109451294,0.5423640608787537,0.11963589076723016,0.07967759668827057,0.0638002773925104,0.06575963646173477,0.9583333333333334,0.6041666865348816
11,0.5834192037582397,0.7441178560256958,0.08468370139598846,0.35533902049064636,0.8185982704162598,0.43933331966400146,0.5743225812911987,0.11986970684039087,0.0762617215514183,0.06393328700486449,0.07134637236595154,0.9583333333333334,0.6458333134651184
12,0.5969311594963074,0.7534010410308838,0.08109936863183975,0.364703506231308,0.8254695534706116,0.4673333466053009,0.5612609386444092,0.12040133779264214,0.07382199913263321,0.06433166547533953,0.06976744532585144,0.9375,0.59375
13,0.6154814958572388,0.7612762451171875,0.07798009365797043,0.37686020135879517,0.8236371874809265,0.4546666741371155,0.5684910416603088,0.11912640635340833,0.07246237993240356,0.0636042402826855,0.07227487862110138,0.9375,0.6354166865348816
14,0.6167411208152771,0.7699607610702515,0.07527511566877365,0.37849685549736023,0.8305084705352783,0.4620000123977661,0.5700045824050903,0.11890447561790247,0.07046205550432205,0.0635260528194147,0.07117008417844772,0.9270833333333334,0.6145833134651184
15,0.6312836408615112,0.7794315218925476,0.07248019427061081,0.3892330825328827,0.8346312642097473,0.4573333263397217,0.5598475933074951,0.11882510013351134,0.0686478242278099,0.06348074179743224,0.07363420724868774,0.9270833333333334,0.6458333134651184
16,0.625214695930481,0.7778539657592773,0.0710221454501152,0.38574424386024475,0.8428767919540405,0.5086666941642761,0.5415776968002319,0.12021857923497267,0.06589142978191376,0.06432748538011696,0.06979865580797195,0.9166666666666666,0.5416666865348816
17,0.6500629782676697,0.7937675714492798,0.06823087483644485,0.40404483675956726,0.841960608959198,0.5133333206176758,0.548644483089447,0.12129565816678153,0.0649908185005188,0.06494464944649446,0.0716216191649437,0.9166666666666666,0.5520833134651184
18,0.6521241068840027,0.794942319393158,0.06647174805402756,0.4051896333694458,0.8369216918945312,0.5573333501815796,0.553993821144104,0.1206896551724138,0.06293701380491257,0.06481481481481481,0.0709969773888588,0.875,0.4895833432674408
19,0.6648345589637756,0.8076835870742798,0.06436561048030853,0.4158751666545868,0.8424186706542969,0.531333327293396,0.5513784885406494,0.12104152005629838,0.061673227697610855,0.0649056603773585,0.06827880442142487,0.8958333333333334,0.5
