epoch,accuracy,loss,val_accuracy,val_loss
0,0.40015268325805664,0.704366147518158,0.4764957129955292,0.6151544451713562
1,0.46458014845848083,0.6246985197067261,0.5762107968330383,0.6097413897514343
2,0.5135877728462219,0.6133469939231873,0.5712250471115112,0.6061047315597534
3,0.5451908111572266,0.6082823872566223,0.5897436141967773,0.6035401821136475
4,0.5659542083740234,0.6038205027580261,0.5868945717811584,0.6012116074562073
5,0.5694656372070312,0.6007695198059082,0.5968660712242126,0.5980921983718872
6,0.5745038390159607,0.5968769788742065,0.5975783467292786,0.5959307551383972
7,0.5731297731399536,0.5947732329368591,0.5968660712242126,0.5941876173019409
8,0.5832061171531677,0.5925495028495789,0.5961538553237915,0.5916289687156677
9,0.5903816819190979,0.5892490148544312,0.5968660712242126,0.5898083448410034
10,0.5871755480766296,0.5857853889465332,0.5961538553237915,0.5869563221931458
11,0.5804580450057983,0.5835177302360535,0.5933048725128174,0.5859010219573975
12,0.576793909072876,0.5819419622421265,0.5954415798187256,0.5827693939208984
13,0.5737404823303223,0.5791312456130981,0.5918803215026855,0.5811207294464111
14,0.5833587646484375,0.5755210518836975,0.5876068472862244,0.5788092017173767
15,0.5807633399963379,0.5737186670303345,0.5940170884132385,0.5764716863632202
16,0.5819847583770752,0.5723381042480469,0.5968660712242126,0.5745173692703247
17,0.5838167667388916,0.5701402425765991,0.5961538553237915,0.5726511478424072
18,0.5716030597686768,0.5658296942710876,0.5833333134651184,0.572907567024231
19,0.5696183443069458,0.5658659338951111,0.5819088220596313,0.5690790414810181
20,0.5709923505783081,0.5607711672782898,0.5726495981216431,0.5697157382965088
21,0.5778626203536987,0.559393048286438,0.5726495981216431,0.5662522315979004
22,0.5719084143638611,0.5579789876937866,0.561253547668457,0.5659904479980469
23,0.5662595629692078,0.5542386174201965,0.5605413317680359,0.5651734471321106
24,0.5708397030830383,0.5520090460777283,0.5527065396308899,0.5632807016372681
25,0.5693129897117615,0.550581157207489,0.5356125235557556,0.5635198354721069
26,0.565190851688385,0.5502607822418213,0.5477207899093628,0.5606957077980042
27,0.5656488537788391,0.5476359724998474,0.5477207899093628,0.5606732964515686
28,0.5648854970932007,0.5454161763191223,0.5498575568199158,0.5599167943000793
29,0.563206136226654,0.5444390177726746,0.5512820482254028,0.559269368648529
30,0.5635114312171936,0.5421921610832214,0.5413105487823486,0.5587775707244873
31,0.5584732890129089,0.5420999526977539,0.5548433065414429,0.5583183765411377
32,0.5610687136650085,0.5398143529891968,0.5498575568199158,0.5559927225112915
33,0.5638167858123779,0.5380571484565735,0.5413105487823486,0.5582278370857239
34,0.5621374249458313,0.5369664430618286,0.5249287486076355,0.5599555969238281
35,0.5593892931938171,0.5348482728004456,0.5420227646827698,0.5583458542823792
36,0.5514503717422485,0.533403754234314,0.5299145579338074,0.559452474117279
37,0.5648854970932007,0.5310639142990112,0.5363247990608215,0.5570757985115051
38,0.555572509765625,0.5300025939941406,0.5170940160751343,0.55877685546875
39,0.5586259365081787,0.527942955493927,0.5213675498962402,0.5592553019523621
40,0.5532824397087097,0.5272201895713806,0.5156695246696472,0.5578750967979431
41,0.5516030788421631,0.527418315410614,0.5170940160751343,0.5626166462898254
42,0.5526717305183411,0.5284646153450012,0.5078347325325012,0.5584985613822937
43,0.5592366456985474,0.5259377360343933,0.5206552743911743,0.5589427351951599
44,0.5603053569793701,0.523224949836731,0.5156695246696472,0.5603024959564209
45,0.5476335883140564,0.5227126479148865,0.5249287486076355,0.5624679327011108
46,0.5595420002937317,0.5216750502586365,0.5199429988861084,0.5598464012145996
47,0.5551145076751709,0.5201789140701294,0.5227920413017273,0.561894416809082
48,0.5569465756416321,0.5177234411239624,0.5206552743911743,0.5612489581108093
49,0.5566412210464478,0.51682448387146,0.5099714994430542,0.5648960471153259
50,0.5485495924949646,0.5153074264526367,0.5064102411270142,0.5657866597175598
51,0.5563358664512634,0.5146100521087646,0.49643874168395996,0.5670228004455566
52,0.5543511509895325,0.5132601261138916,0.505698025226593,0.5673613548278809
